ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2007326,0,0,0,-65.3826,116.293,1
0,0,0,2007327,0,0,0,-65.3826,116.293,1
0,0,0,2007328,0,0,0,-65.3826,116.293,1
0,0,0,2007329,0,0,0,-65.3826,116.293,1
0,0,0,2007330,0,0,0,-65.3826,116.293,1
0,0,0,2007331,0,0,0,-65.3826,116.293,1
0,0,0,2007332,0,0,0,-65.3826,116.293,1
0,0,0,2007333,0,0,0,-65.3826,116.293,1
0,0,0,2007334,0,0,0,-65.3826,116.293,1
0,0,0,2007335,0,0,0,-65.3826,116.293,1
0,0,0,2007336,0,0,0,-65.3826,116.293,1
0,0,0,2007337,0,0,0,-65.3826,116.293,1
0,0,0,2007338,0,0,0,-65.3826,116.293,1
0,0,0,2007339,0,0,0,-65.3826,116.293,1
0,0,0,2007340,0,0,0,-65.3826,116.293,1
0,0,0,2007341,0,0,0,-65.3826,116.293,1
0,0,0,2007342,0,0,0,-65.3826,116.293,1
0,0,0,2007343,0,0,0,-65.3826,116.293,1
0,0,0,2007344,0,0,0,-65.3826,116.293,1
0,0,0,2007345,0,0,0,-65.3826,116.293,1
0,0,0,2007346,0,0,0,-65.3826,116.293,1
0,0,0,2007347,0,0,0,-65.3826,116.293,1
0,0,0,2007348,0,0,0,-65.3826,116.293,1
0,0,0,2007349,0,0,0,-65.3826,116.293,1
0,0,0,2007350,0,0,0,-65.3826,116.293,1
0,0,0,2007351,0,0,0,-65.3826,116.293,1
0,0,0,2007352,0,0,0,-65.3826,116.293,1
0,0,0,2007353,0,0,0,-65.3826,116.293,1
0,0,0,2007354,0,0,0,-65.3826,116.293,1
0,0,0,2007355,0,0,0,-65.3826,116.293,1
0,0,0,2007356,0,0,0,-65.3826,116.293,1
0,0,0,2007357,0,0,0,-65.3826,116.293,1
0,0,0,2007358,0,0,0,-65.3826,116.293,1
0,0,0,2008071,0,0,0,-65.3826,116.293,1
0,0,0,2008072,0,0,0,-65.3826,116.293,1
0,0,0,2008073,0,0,0,-65.3826,116.293,1
0,0,0,2008074,0,0,0,-65.3826,116.293,1
