ascat_1,ascat_2,ascat_3,date,qscat_1,qscat_2,qscat_3
-74.8924,-27.6536,1,2019019,0,0,0
-74.9651,-27.8007,1,2019020,0,0,0
-74.9651,-27.8007,1,2019021,0,0,0
-74.9651,-27.8007,1,2019022,0,0,0
-74.9866,-27.8865,1,2019023,0,0,0
-74.9866,-27.8865,1,2019024,0,0,0
-74.9761,-28.1258,1,2019025,0,0,0
-74.9761,-28.1258,1,2019026,0,0,0
-74.9761,-28.1258,1,2019027,0,0,0
-74.9118,-28.0017,1,2019028,0,0,0
-74.9118,-28.0017,1,2019029,0,0,0
-74.9118,-28.0017,1,2019030,0,0,0
-74.9118,-28.0017,1,2019031,0,0,0
-74.9118,-28.0017,1,2019032,0,0,0
-74.9118,-28.0017,1,2019033,0,0,0
-74.9758,-27.7962,1,2019034,0,0,0
-74.9758,-27.7962,1,2019035,0,0,0
-74.9758,-27.7962,1,2019036,0,0,0
-74.9589,-27.6224,1,2019037,0,0,0
-75.0107,-27.8013,1,2019038,0,0,0
-75.0107,-27.8013,1,2019039,0,0,0
-75.0107,-27.8013,1,2019040,0,0,0
-74.9949,-27.735,1,2019041,0,0,0
-74.9949,-27.735,1,2019042,0,0,0
-74.9949,-27.735,1,2019043,0,0,0
-74.9949,-27.735,1,2019044,0,0,0
-74.9949,-27.735,1,2019045,0,0,0
-74.9949,-27.735,1,2019046,0,0,0
-74.9949,-27.735,1,2019047,0,0,0
-74.9949,-27.735,1,2019048,0,0,0
-75.1309,-27.674,1,2019049,0,0,0
-75.1309,-27.674,1,2019050,0,0,0
-75.1679,-27.8187,1,2019051,0,0,0
-75.1619,-27.6787,1,2019052,0,0,0
-75.1619,-27.6787,1,2019053,0,0,0
-75.204,-27.5439,1,2019054,0,0,0
-75.204,-27.5439,1,2019055,0,0,0
-75.195,-27.5176,1,2019056,0,0,0
-75.2046,-27.452,1,2019057,0,0,0
